Run,Mean_Q_Time_Nurse
0,13.760918707123373
1,20.698718222066383
2,11.929779181021985
3,20.338743031225047
4,20.91276348760182
5,12.399657748448233
6,10.957015009058217
7,9.031139255409107
8,8.729790067247565
9,14.900809470056037
10,6.151226275316298
11,28.288134842246677
12,11.49546335949785
13,32.22622106221226
14,7.862919846408851
15,3.172021957014485
16,22.80806449102002
17,31.01602887329803
18,17.30917450082063
19,38.558526200426854
20,27.103114866654543
21,4.010514750724636
22,25.62397881288862
23,23.185117620544293
24,24.992653596229232
25,13.080061937188336
26,6.888896569720843
27,22.381127966778205
28,20.467808611439096
29,3.240531272928869
30,10.323145185151226
31,0.7699728660591297
32,8.68728045969698
33,17.506416522213332
34,14.942488508841079
35,10.611823000481136
36,12.856912415927276
37,24.07973380247335
38,6.117147879139509
39,20.34648690853753
40,20.337334404840796
41,3.990379929934108
42,17.90060794911091
43,26.17693495835688
44,6.104856968178923
45,11.545845427840929
46,5.404866098285036
47,0.4872111793101285
48,36.914388198566584
49,4.318802012195529
50,7.669629219245507
51,22.43415226397985
52,12.547225572264237
53,4.70364885976631
54,10.335017019512915
55,15.37377903061568
56,9.284273566258646
57,14.704413771037945
58,14.251798262551356
59,12.741459751026655
60,9.427944498883075
61,6.2046530444256955
62,11.191365153017648
63,2.7282112500408866
64,10.60639219154199
65,10.571863378339597
66,14.557345937884225
67,12.497188868631808
68,5.759203713809869
69,13.465005555059166
70,8.321189774809444
71,15.313604709136722
72,8.853254672297371
73,4.679310876600927
74,32.36877742404337
75,2.0747374939378735
76,22.667898000353155
77,10.679005716349195
78,2.8226224075549005
79,2.553439502069196
80,13.047850819410673
81,31.912837204133652
82,29.05322895507772
83,29.06613558357582
84,20.86401778251199
85,16.19687850559829
86,6.9129830377131904
87,7.335535822314048
88,17.674903356575694
89,7.41325201475765
90,12.92629384460237
91,5.179678432065687
92,9.542794683388959
93,16.571408546625126
94,2.974288876036978
95,44.91857251462273
96,16.12148959168521
97,9.6197843606807
98,13.76181835762832
99,8.464738762776825
